label	postag	postag2	category	gen	num	pers	case	vib	tam	category2	gen2	num2	pers2	case2	vib2	tam2	prec
adv	[JJ, NST, PRP, VM, RB, CC, NN, WQ, QF]	[VM]	[nst, adj, pn, avy, v, n, adv]	-	-	-	-	[0_से, 0_का_तरह, कर, 0, 0_उलट, 0_कर, 0_का_ओर]	[0, ke, kara]	[unk, v]	-	-	-	-	-	[yA, nA, WA, hE, yA1, eM, gA, kara, 0, wA]	1
fragof	[DEM, RP, PSP, SYM, NST, NNP, CC]	[NN, CC, NNP]	[nst, n, avy, punc, psp, pn]	-	-	[3]	-	[0_यह, 0]	[0]	[n, avy]	-	-	[3]	-	[0_द्वारा, 0_पर, 0, 0_का]	[0]	1
jjmod	[QF, JJ, CC, NN, VM, NNP, RB, QC, PRP, NST]	[JJ, QF, NN]	[adv, v, num, nst, n, pn, avy, adj]	-	-	-	-	[0_के_अंदर, ना_का, 0_के_लिए, 0, 0_से, 0_अंदर, 0_खिलाफ, 0_में, 0_पर, ना_पर, कर, 0_का_ओर_से, 0_के_खिलाफ, से, 0_को, 0_द्वारा, ना_में, ना_के]	[se, nA, 0, kara]	[n, avy, adj]	-	-	[3]	-	[0]	[0]	1
k1s	[NNP, VM, PRP, QC, QF, NN, JJ, CC]	[NEG, VM, NN]	[avy, adj, num, n, v, pn, unk]	-	-	-	-	[है, 0_तक, 0_दूर, 0_पर, ना_वाला, ना, 0_का, 0, 0_उलट, 0_से, ता]	[nA, hE, wA, ke, 0]	[avy, n, v, unk]	-	-	-	[o]	[ना_लग+या_है, एं, या_पड़+ता_है, 0_जा+या1, या, 0_जा+या१, ना_पड़+ता_है, या_था, गा, ना_का, 0_रह+या_है, 0, या_कर+ता_था, या_है, या_जा+या1, ता, 0_जा+या१_है, या_पड़+या, ना_चाहिए_था, 0_जा+ता_है, 0_दे+या_है, या_हो+या_था, 0_जा+या1_है, 0_जा+या१_था, या_हो+या_है, ना_हो+गा, या_हो+गा, या_जा+या१_है, 0_पा+या_है, या_रह+एं, 0_सक+ता_है, था, है, 0_जा+गा, ता_है, 0_सक+ता, या_जा+ता_है, 0_से, या_जा+ना_का]	[nA, eM, hE, yA, wA, WA, 0, gA]	1
k2	[PRP, SYM, DEM, WQ, QC, JJ, CC, NNP, NN, VM]	[VM]	[n, unk, num, adj, pn, punc, avy, v]	-	-	-	-	[ना_को, है, ता_है, 0_से, 0_का, ना, गा, ता, या_है, 0_को, 0_के_नीचे, 0_के_साथ, से, 0_रह+या_है, या_था, 0_के_बराबर, ना_से, या, को, 0, 0_के]	[se, wA, ko, 0, gA, yA, nA, hE]	[unk, v]	-	-	-	-	-	[kara, wA, 0, eM, WA, gA, yA, nA, hE]	1
k2p	[NN, NNP, PRP, NST]	[VM]	[pn, n, nst]	-	-	[3]	-	[0_से, 0_को, 0_पर, 0_तक, 0]	[0]	[unk, v]	-	-	-	[o]	[या_जा+या१_है, ना_के_लिए, या_जा+या1, 0_सक+ता_है, ना_पर, ना_से_पहले, ना_वाला, या_कर+ता_था, ना_पड+या_था, 0_आ+या, 0_पा+या_था, 0_जा+या१, ता_था, कर, 0_जा+या1, ना_लग+या, ना_का, या]	[nA, kara, 0, wA, yA]	1
k1u	[NNP, CC, NN, PRP]	[VM]	[avy, pn, n]	-	-	[3]	[o]	[0_का_अपेक्षा, 0_के_अनुरूप, से, 0_का_तरह, 0_से, 0_जैसा, 0_के_समान, 0_के_मुकाबला]	[se,0]	[v]	-	-	-	-	-	[kara, hE, wA, 0, nA, yA, gA]	1
k2u	[NN, NNP, CC]	[VM]	[avy, n]	[m]	-	[3]	[o]	[0_का_तरह, 0_का_अपेक्षा, 0_के_मुकाबला, 0_के_अनुरूप]	[0]	[v]	[0]	-	-	-	[ता_है, या_जा+गा, 0_रह+या_है, या_जा+या१, या_है]	[yA, 0, wA]	1
k3	[NNP, CC, NN, PRP]	[VM]	[avy, pn, n]	-	-	[3]	[o]	[0_से, 0_के_हिसाब_से, 0, 0_का, 0_द्वारा, 0_के_सौजन्य_से, 0_के_जरिये]	[0]	[v, unk]	-	-	-	-	-	[kara, hE, wA, 0, nA, yA, gA]	1
k4	[NN, VM, PRP, QC, CC, NNP]	[VM]	[v, avy, num, pn, n]	-	-	-	-	[को, 0_से, से, 0_को, 0, ना_वाला_को, 0_खिलाफ]	[0, ko, ke, se, nA]	[unk, v]	-	-	-	-	-	[0, eM, kara, gA, yA, wA, nA, WA]	1
k5	[NN, CC, NNP, QC, NST, VM, PRP]	[VM]	[pn, num, n, nst, avy, v]	-	-	-	-	[0_से, 0_में_से, 0_से_बाहर, 0_के_हवाला_से, ना_के_बाद_से, से] ना_से, 0	[se, meM, 0, nA]	[unk, v]	-	-	-	-	-	[hE, yA, kara, WA, wA, gA, 0, nA]	1
k7	[CC, VM, NNP, PRP, NN, QC, NST]	[VM]	[pn, n, num, avy, v, nst, unk]	-	-	-	-	[0_का_जगह, ना_पर, 0_के_सामने, 0_पर, 0_के_तौर_पर, 0_के_संबंध_में, 0_एवज_में, 0_के_समक्ष, 0_में, 0_में_से, 0_से_बाहर, ना_के_बीच, 0_के_दौरान, 0_के_रूप_में, 0_से_आगे, ना_वाला_में, 0_के_बीच, 0_के_पीछे, 0_ऊपर, 0_के_अंदर, 0_पास, या_जा+ना_में, ना_के_बारे_में, 0_के_नाते, 0_का_ओर_से, 0_तक, 0_के_बारे_में, में, 0_से, 0_के_पास, 0_बारे_में, 0_बदले, 0_का_तुलना_में, 0_स्वरूप, 0_पीछे, 0_को, 0_जा+ना_में, ना_में, 0, 0_के_पास_से, 0_के_मद्देनज़र, या_जा+ना_पर]	[yA, se, nA, 0, ke, meM]	[v, unk]	-	-	-	-	-	[0, yA, wA, yA1, kara, gA, nA, hE, eM, WA]	1
nmod_k2inv	[VM]	[NNP, PRP, NN]	[v]	-	-	-	[o]	[0_रह+या, या_जा+या1, या_जा_रह+या, या, या_जा+या१]	[0,yA]	[pn, n]	-	-	-	[o]	[0_के_बीच, 0_में, 0_से, 0_के_बाद, 0_ने, 0_का, 0_के_दौरान, 0_को, 0_के_साथ, 0_पर, 0_में_से]	[0]	1
r6-k1	[NN, PRP, CC, VM, NNP]	[NN, WQ]	[avy, n, v, pn]	-	-	-	-	[0_के, ना_का, 0_का, 0, का]	[0, nA, kA]	[pn, n]	-	-	-	-	[0, 0_तक]	[0]	1
ras-k2	[NNP, CC, NN]	[VM, NN]	[avy, n, unk]	-	-	[3]	[o]	[0_से, 0_समेत, 0_के_साथ, 0_सहित]	[0]	[v,n]	-	-	-	-	[ना, ना_में, गा, ना_दे+या, या, या_है, ना_हो+गा, या_जा_रह+या_है, या_जा+एं, ना_का, 0_का]	[nA, 0, yA, gA]	1
k4a	[NNP, NN, CC, PRP]	[VM]	[n, pn, avy]	-	-	-	[o]	[से, को, 0_को]	[0, ko, se]	[v, unk]	-	-	-	-	[0_दे+या_है, 0_सक+ता_है, है, ना_के_लिए, ता, ता_है, ना, 0_रह+या, ता_था, गा, ना_वाला, था, 0_रह+या_है, एं, या_है, या, ता_रह+गा, या_था]	[eM, WA, 0, nA, hE, wA, gA, yA]	1
k7p	[NNP, NN, WQ, CC, NST, PRP]	[VM]	[avy, n, nst, pn, unk]	-	-	[3]	-	[में, 0_के_नजदीक, 0_पर, 0_तक, 0_के_ऊपर, 0_के_सामने, 0_के_लिए, 0_के_आसपास, 0_के_समीप, 0_ऊपर, 0_दूर, 0_के_बाहर, 0_को, 0_के_बीच, 0_के_पीछे, 0_के_बारे_में, 0, 0_सामने, 0_में, 0_से_बाहर, 0_के_नीचे, 0_के_पास, 0_से]	[ke, meM, 0]	[unk, v]	-	-	-	-	[0_पा+या_है, 0_ले+या, या_था, कर, या_जा+या१, ना_में, ता_रह+या_है, 0_है, ना_पड़+या, ना_वाला_में, या_जा_रह+या_था, या_जा+या1_है, या_जा+या१_था, 0_पा+या, 0_जा+गा, या_हो+या_था, 0_रह+या_था, ता_है, 0_रह+या, या_है, 0_दे+या_जा+या1_है, 0_सक+ता_था, या_जा+ना_वाला, ना_वाला_है, एं, था, या_दे+ता_है, या_जा+या1_था, ता_समय, या_जा+या1, 0_रह+या_है, या_रह+या, ना_के_लिए, 0_चुक+या_है, ना_लग+ता_है, ना_के_बावजूद, 0_जा+या_जा+या1, 0_जा+ता_है, ना, या_जा_रह+या_है, ता_था, ना_का, या_जा+एं, 0_जा+ता, 0_सक+एं, या१_है, या_हो+ना_का, 0_पा_रह+या_है, 0_चुक+या_था, या, 0_जा+ना_पड़+या, 0_दे+या_जा+या१, 0_दे+या_था, या_हो+या_है, ना_के_बाद, 0_कर+ता_था, 0_पा+गा, या_जा+ता_है, 0_जा+या1, 0_दे+या_जा+या१_है, या_पड़+या_है, या_जा+ना_से, या_दे+या, या_जा_सक+ता_है, 0_सक+गा, या_आ+या, 0, या_जा+गा, या_जा_रह+या, ता_हो+या, 0_जा+ना_से, गा, या१_था, ना_वाला, है, या_जा+या१_है, 0_जा+या१, या_रह+ता_है, 0_रख+या_है, ता, 0_जा+या१_था, 0_जा+या१_है, 0_ले+या_है, 0_कर, या_दे_रह+या_है, ना_से, या१, 0_दे+या_जा+या1, 0_दे+या, 0_दे+या_है]	[hE, gA, kara, WA, 0, nA, yA, eM, wA, yA1]	1
mod	[JJ, PRPC, JJC, RBC, PRP, NSTC, PSP, CC, QCC, QFC]	[JJ, RP, SYM, PRP, RB, NNP, NST, QF, PSP, NN, QC]	[adj, n, adv, avy, num, nst, pn, psp]	-	-	-	-	[0]	[0]	[adj, n, adv, avy, num, nst, punc, pn, psp]	-	-	-	-	[0_से, 0_तक, 0_में, 0_को, 0, 0_का, 0_तक_का, 0_पर]	[0]	1
nmod	[NNP, CC, NST, NN, QF, RP, NEG, RB, QC, VM, JJ, PRP]	[NNP, NST, NN, QC, VM, JJ, PRP]	[num, n, unk, nst, pn, v, avy, adj, adv]	-	-	-	-	[0_सहित, 0_सक+ता_है, 0_जैसा, था, ना_जा+ना_वाला, या_है, 0_पर, 0_के_साथ, 0_के, 0_पूर्व, 0_में_से, ना_वाला, 0_द्वारा, का, 0_के_नजदीक, ता_है, 0_का, या, कर, 0_के_निकट, ना_का, 0_वाला, या_जा+ना_वाला, 0, 0_के_लिए, 0_से, 0_में, 0_समेत]	[0, nA, kara, ke, WA, yA, kA, meM, wA]	[num, n, nst, unk, pn, v, adj]	-	-	-	-	[0_तक, 0_के_बीच, 0_सहित, 0_के_समय, 0_के_पास, को, 0_पहले, 0_के_ऊपर, 0_पर, 0_के_साथ, 0_के_मुताबिक, 0_साथ, 0_के_कारण, 0_के_मद्देनज़र, 0_के, 0_के_अनुसार, 0_में_से, 0_के_तहत, 0_द्वारा, का, 0_के_जरिये, 0_को, 0_का, 0_के_समान, 0_के_खिलाफ, 0_के_बाद, 0_ने, एं, 0_वाला, 0, 0_के_रूप_में, 0_का_ओर_से, 0_के_लिए, 0_से, 0_के_बारे_में, 0_में, 0_समेत]	[0, ke, eM, ko, kA]	1
nmod_emph	[PRP]	[NN, PRP, NNP]	[pn]	[m]	[sg]	-	[d]	[0]	[0]	[pn, n]	-	-	[3]	-	[0_ने, 0]	[0]	1
nmod_k1inv	[VM]	[PRP, QC, NN, NNP]	[v]	-	-	-	[o]	[0_चुक+या, ता, ता_हो+या, या_जा_रह+या, या, 0_रह+या, 0_जा+या१, ना_वाला, कर, या_हो+या, या_जा+या1, या_जा+या१]	[nA, 0, yA, kara, wA]	[pn, num, n]	-	-	[3]	-	[0_ने, 0_के, 0_के_बीच, 0_के_मुताबिक, 0_के_मद्देनजर, 0_के_साथ, 0, ने, 0_के_मद्देनज़र, 0_का, 0_से, 0_पर, 0_में, 0_के_कारण, 0_के_लिए, 0_के_दौरान, 0_के_बारे_में, 0_के_बाद, 0_को]	[0, ne]	1
pof	[RB, NN, JJ, VM, NST, UNK, NNP, CC, WQ, QF]	[VM]	[nst, pn, adv, adj, v, avy, unk, n]	-	-	-	-	[0_तक, कर, ना, 0_के_समान, 0_से_बाहर, 0, 0_से]	[kara, 0, nA]	[unk, v]	-	-	-	-	-	[nA, hE, WA, kara, wA, gA, yA, eM, 0]	1
